Id,Código,Nombre,Categoria,Marca,Costo Base,Existencia actual,PRECIO DE VENTA DETAL,PRECIO DE Venta Mayor,fecha
561,804496,Punos MTB GW Gorila  130mm,Accesorios,GW,3,3,5.004,3.5,7/20/2022
562,806105,Soporte de Caramanola de  Aluminio,Accesorios,Otras,3.7,0,4.995,3.996,7/20/2022
563,806120,SOPORTE CARAMANOLA GW FIBRA VIDRIO,Accesorios,GW,5.2,0,6.0008,5.2,7/20/2022
564,806161,SOPORTE CARAMANOLA CANNIBAL ELITE,Accesorios,Otras,14.7,0,20.00302703,16.99632432,7/20/2022
565,807419,CARAMAÑOLA PLASTICA GW SHIMANO,Accesorios,GW,2.49,1,5.0049,3.00045,7/20/2022
566,807454,CARAMAÑOLA LOLI GW,Accesorios,GW,3.66,0,6.0024,4.20168,7/20/2022
567,807459,CARAMAÑOLAS LOLI SCOTT 600ML,Accesorios,GW,3.793333093,3,5,4,7/20/2022
568,807477,CARAMAÑOLAS LOLI FOX 600 ML,Accesorios,GW,3.71333336,3,5,4,7/20/2022
569,807481,CARAMANOLA FLY EQUIPOS,Accesorios,Otras,7.55,9,10.00147371,8.495818714,7/20/2022
570,807486,TERMO FLY TOUR DE FRANCIA,Accesorios,Otras,10.01,5,15.0093,11.5,7/20/2022
571,807496,CARAMANOLA LOLI COLOMBIA,Accesorios,GW,4.57,0,5,5,7/20/2022
572,807497,CARAMANOLA LOLI LINEAS V,Accesorios,GW,5.51,0,7.002162162,6.00972973,7/20/2022
573,807501,CARAMANOLA  LOLI MILITAR ,Accesorios,GW,3.432432432,1,5.001054054,4.009081081,7/20/2022
